load_id,report_date,load_type,load_time,load_weight,dropoff_site,route_type,route_number
105315,05/11/2004,RECYCLING - COMINGLE,05/11/2004 12:23:00,420,MRF,RECYCLING - SINGLE STREAM,DF1
291442,01/08/2008,RECYCLING - PAPER,01/08/2008 10:39:00,1520,MRF,RECYCLING - SINGLE STREAM,DF1
160333,06/01/2006,RECYCLING - PAPER,06/01/2006 11:06:00,2260,MRF,RECYCLING - SINGLE STREAM,DF1
251825,09/11/2007,RECYCLING - COMINGLE,09/11/2007 2:07:00,1900,MRF,RECYCLING - SINGLE STREAM,DF1
170320,17/03/2006,RECYCLING - PAPER,17/03/2006 1:05:00,580,MRF,RECYCLING - SINGLE STREAM,DF1
253256,24/11/2007,RECYCLING - PAPER,24/11/2007 11:28:00,1280,MRF,RECYCLING - SINGLE STREAM,DF1
143908,19/08/2005,RECYCLING - COMINGLE,19/08/2005 12:54:00,1200,MRF,RECYCLING - SINGLE STREAM,DF1
233122,29/06/2007,RECYCLING - COMINGLE,29/06/2007 11:14:00,1740,MRF,RECYCLING - SINGLE STREAM,DF1
349502,04/12/2009,RECYCLING - SINGLE STREAM,04/12/2009 10:41:00,4540,MRF,RECYCLING - SINGLE STREAM,DF1
189339,04/08/2006,RECYCLING - PAPER,04/08/2006 12:10:00,1780,MRF,RECYCLING - SINGLE STREAM,DF1
299045,27/09/2008,RECYCLING - COMINGLE,27/09/2008 9:39:00,1540,MRF,RECYCLING - SINGLE STREAM,DF1
299827,03/10/2008,RECYCLING - COMINGLE,03/10/2008 11:47:00,1980,MRF,RECYCLING - SINGLE STREAM,DF1
257620,21/12/2007,RECYCLING - COMINGLE,21/12/2007 1:35:00,1940,MRF,RECYCLING - SINGLE STREAM,DF1
104178,29/10/2004,RECYCLING - COMINGLE,29/10/2004 12:31:00,1960,MRF,RECYCLING - SINGLE STREAM,DF1
318166,06/03/2009,RECYCLING - SINGLE STREAM,06/03/2009 2:19:00,1820,MRF,RECYCLING - SINGLE STREAM,DF1
298440,26/09/2008,RECYCLING - COMINGLE,26/09/2008 5:19:00,600,MRF,RECYCLING - SINGLE STREAM,DF1
194721,15/09/2006,RECYCLING - COMINGLE,15/09/2006 12:07:00,1780,MRF,RECYCLING - SINGLE STREAM,DF1
155312,02/12/2005,RECYCLING - COMINGLE,02/12/2005 12:32:00,1580,MRF,RECYCLING - SINGLE STREAM,DF1
221557,30/03/2007,RECYCLING - PAPER,30/03/2007 12:12:00,1300,MRF,RECYCLING - SINGLE STREAM,DF1
192143,25/08/2006,RECYCLING - COMINGLE,25/08/2006 1:05:00,1900,MRF,RECYCLING - SINGLE STREAM,DF1
248332,19/10/2007,RECYCLING - PAPER,19/10/2007 12:28:00,1640,MRF,RECYCLING - SINGLE STREAM,DF1
